Category,ModelID,Place,a,v0,k,sigma0,R2_mean,R2_var,R2_total,cov_mean,cov_var
I,SDE,CM,0.0135397988,-0.1290497174,3.200935647e-20,0.21067905450000002,0.4833398534,-0.12241739530000001,0.2349345706,"[[9.90580483728179e-05, -0.0016678244014389138], [-0.0016678244014389138, 0.028152510509254502]]","[[0.00038811985154263266, -0.006534716417751094], [-0.006534716417751093, 0.11030466651676521]]"
I,SDE,JH,-0.0002858694,0.1011421234,0.012364893600000001,5.073637798e-26,0.0119117817,0.2393290464,0.0011233744,"[[0.0002293206727810184, -0.003470250694760436], [-0.003470250694760436, 0.05274045127628113]]","[[0.0013885724817347827, -0.028256080388386694], [-0.02825608038838669, 0.5773309827661324]]"
