run_id,run_label,factor,place,signal_q,window_minutes,d_shift,cs_dmax_um,kernel_form,d1_um,d2_um,eta,eta_ci_low,eta_ci_high,beta_max,beta_max_ci_low,beta_max_ci_high,cs0,cs0_ci_low,cs0_ci_high,hill_n,hill_n_ci_low,hill_n_ci_high,crps,crps_low,crps_high,r2,crps_ratio,crps_ratio_low,crps_ratio_high,crpss,crpss_low,crpss_high
0,Baseline,baseline,CM,0.6,60,0,32.0,mm,0.25,0.4,0.0014614967429631154,0.0009601566464970672,0.004129415320971458,1.9565558552974596,1.5306549216923777,4.032696784462582,16.751849211269832,8.831051943611042,52.03739032316927,1.0,1.0,1.0,1.2129160489399915,0.6554387835668729,2.0361610903043386,-0.505345547014263,1.0,1.0,1.0,0.0,0.0,0.0
0,Baseline,baseline,JH,0.6,60,0,32.0,mm,0.25,0.4,0.0017460139179642014,5.1323643428478564e-05,0.02046776457878317,2.760685820686858,2.423514697090018,3.35821066220376,29.17664110539388,20.841003337044143,41.70180437825768,1.0,1.0,1.0,1.3033735204761647,0.4369368481545634,2.68998212653597,-7.217336600667636,1.0,1.0,1.0,0.0,0.0,0.0
1,Burst threshold -20%,burst_threshold,CM,0.48,60,0,32.0,mm,0.25,0.4,0.0016546654590282068,0.000961428194593753,0.0034184644253752064,1.9565558552974596,1.5098902341913316,4.0731076260722565,16.751849211269832,10.118034672120924,51.90921397900193,1.0,1.0,1.0,1.2129160489399915,0.6554387835668729,2.0361610903043386,-0.505345547014263,1.0,1.0,1.0,0.0,0.0,0.0
1,Burst threshold -20%,burst_threshold,JH,0.48,60,0,32.0,mm,0.25,0.4,0.0012728883966506917,5.4255884040627366e-05,0.019534347089972752,2.760685820686858,2.3934607253808893,3.557763545215582,29.17664110539388,20.569747358532435,44.24525499663962,1.0,1.0,1.0,1.3033735204761647,0.4369368481545634,2.68998212653597,-7.217336600667636,1.0,1.0,1.0,0.0,0.0,0.0
2,Burst threshold +20%,burst_threshold,CM,0.72,60,0,32.0,mm,0.25,0.4,0.0015270997838440492,0.0007697530635316584,0.004688379357354832,1.9565558552974596,1.5016004096127264,4.218346061097396,16.751849211269832,9.980062290038493,59.27908687247118,1.0,1.0,1.0,1.2129160489399915,0.6554387835668729,2.0361610903043386,-0.505345547014263,1.0,1.0,1.0,0.0,0.0,0.0
2,Burst threshold +20%,burst_threshold,JH,0.72,60,0,32.0,mm,0.25,0.4,0.0014185052778818933,5.4164146090906216e-05,0.020111882612089352,2.760685820686858,2.3938059412320642,3.385190023916453,29.17664110539388,20.29967759893732,42.33930829954223,1.0,1.0,1.0,1.3033735204761647,0.4369368481545634,2.68998212653597,-7.217336600667636,1.0,1.0,1.0,0.0,0.0,0.0
3,Window x1.5,window_length,CM,0.6,90,0,32.0,mm,0.25,0.4,0.001434683762479263,0.0009113085771778131,0.0038853771516177884,1.9565558552974596,1.5736024710140788,4.313111590639588,16.751849211269832,10.236433976622164,52.54279337946399,1.0,1.0,1.0,1.2129160489399915,0.6554387835668729,2.0361610903043386,-0.505345547014263,1.0,1.0,1.0,0.0,0.0,0.0
3,Window x1.5,window_length,JH,0.6,90,0,32.0,mm,0.25,0.4,0.001535335217063691,4.472477212531662e-05,0.020470831541958095,2.760685820686858,2.410435369850618,3.5648680634564935,29.17664110539388,20.817997878688416,43.99094063916187,1.0,1.0,1.0,1.3033735204761647,0.4369368481545634,2.68998212653597,-7.217336600667636,1.0,1.0,1.0,0.0,0.0,0.0
4,Window x0.5,window_length,CM,0.6,30,0,32.0,mm,0.25,0.4,0.0014940232369408182,0.0008515616714717546,0.004141103553002296,1.9565558552974596,1.4866850517991468,4.2185494532859575,16.751849211269832,10.93157563031107,57.78242056011503,1.0,1.0,1.0,1.2129160489399915,0.6554387835668729,2.0361610903043386,-0.505345547014263,1.0,1.0,1.0,0.0,0.0,0.0
4,Window x0.5,window_length,JH,0.6,30,0,32.0,mm,0.25,0.4,0.0016005030452962944,4.3970495642616184e-05,0.018672944934206206,2.760685820686858,2.4310199148038705,3.4930177944327907,29.17664110539388,20.763427310562765,44.41655768244645,1.0,1.0,1.0,1.3033735204761647,0.4369368481545634,2.68998212653597,-7.217336600667636,1.0,1.0,1.0,0.0,0.0,0.0
