Category,ModelID,Place,R2,R2_uncentered,Adj_R2,RMSE,BIC
I,1,CM,0.8631802107000001,0.8631802107000001,0.8624325616,1.5458927567,1172.2355901492
I,2,CM,0.9892758257,0.9892758257,0.9892172237,0.43279958490000003,-2107.2238739874
I,3,CM,0.9034414462,0.9034414462,0.9033664202,1.2986744008,680.3831251866
I,1,JH,0.8166134678,0.8166134678,0.8156912654,1.6534466175,1457.7123784013
I,2,JH,0.9918614531000001,0.9918614531000001,0.9918205264000001,0.3483211901,-2900.1508900098
I,3,JH,0.9864207546,0.9864207546,0.9864110413,0.4499293016,-2227.4206423097
