Category,ModelID,Place,beta_max,CS0,R2_before,RMSE_before,R2_after,RMSE_after
II,CS,CM,1.1201985502,2.4669359935,0.9892758257,0.43279958490000003,0.9906103657,0.40497596
II,CS,JH,1.2684323477000001,6.301677121,0.9918614531000001,0.3483211901,0.9931011336000001,0.3206973177
