Place,Target,Variant,R2_cached,R2_recomputed,R2_real_SOA,n_samples,n_features
CM,Y1,base,0.8915591943000001,0.9652095748508716,0.8915591943410713,1288,16
JH,Y1,base,0.9543619517,0.9308205894614068,0.9543619516526072,1399,16
CM,Y2,cs,0.9769506033,0.9920886328532122,0.9759593740084184,1288,17
JH,Y2,cs,0.9902542053,0.9842882750841324,0.9901190843115087,1399,17
