Place,beta_max_mean,beta_max_ci_low,beta_max_ci_high,CS0_mean,CS0_ci_low,CS0_ci_high,n_boot
CM,1.1201985484849433,1.1201985484849435,1.1201985484849435,2.466935957792704,2.466935957792704,2.466935957792704,500
JH,1.2684323441339134,1.2684323441339134,1.2684323441339134,6.3016770376540885,6.301677037654089,6.301677037654089,500
