Place,Model,n,Residual_mean,Residual_std,Residual_rmse
CM,lin2,1288,0.0053436262766747,0.4329346930111607,0.4327995848740793
CM,cs,1288,-0.0261018667676885,0.4042908900339922,0.4049759599863114
CM,ml,258,0.0116648309345691,0.2071436611780664,0.2070706465087848
JH,lin2,1399,-0.0035791342669291,0.3484273506859224,0.3483211901138131
JH,cs,1399,0.0035014805493663,0.320792873199524,0.3206973176649608
JH,ml,280,-0.0032401695700138,0.1216350456966064,0.1214608721091844
