Place,feature,trend,turning_point,amplitude_10_90,pdp_min,pdp_max
CM,O3,sign_flip,5.438255840455841,0.1511469956487417,-0.0656577199697494,0.12527896463871
CM,NOx,sign_flip,5.668038865147199,0.0300182386301457,-0.0414416491985321,0.021217867732048
CM,RH,sign_flip,72.78783142882841,0.0238275416195392,-0.0438723228871822,0.0366095006465911
CM,J,sign_flip,47.88535909306742,0.1246991574764251,-0.1044330224394798,0.0651787146925926
CM,Temperature,sign_flip,31.09679703594127,0.0706627525389194,-0.0429971292614936,0.0575487539172172
JH,O3,sign_flip,0.0798295014245015,0.0283526104874908,-0.047715701162815,0.0180093850940465
JH,NOx,sign_flip,5.213137094017094,0.07511624135077,-0.0660593137145042,0.0343888215720653
JH,RH,sign_flip,61.856313782146245,0.0408293380693066,-0.045675054192543,0.0069924271665513
JH,J,sign_flip,4915.338303133902,0.061325130239129,-0.0215278882533311,0.0470142588019371
JH,Temperature,sign_flip,27.49990085470085,0.0706760326400399,-0.0829933956265449,0.0542428232729435
