Category,ModelID,Place,Parameter,Estimate,StdErr,p_value,Significance
II,CS,CM,beta_max,1.1201985502,0.0100174567,,
II,CS,CM,CS0,2.4669359935,0.2061260134,,
II,CS,JH,beta_max,1.2684323477000001,0.025909960200000002,,
II,CS,JH,CS0,6.301677121,0.6073704575000001,,
